,ts,project,offer_title,goal,payouts,sub1,sub2,sub3,sub4,sub5,sub6,affiliate
0,2021-03-29 06:00:54,Lime,Lime CPA,Займ хороший,3000,102abd011b71b69788c421bb6ee701,,42,,,,CpaHub
1,2021-03-25 20:01:52,Lime,Lime CPA,Займ хороший,3000,102b3989f802058a2bf43b6f4e7f31,,42,,,,CpaHub
2,2021-03-24 00:55:19,Lime,Lime CPA,Займ средний,1800,1024f18452379929fd68e97c88ac94,,42,,,,CpaHub
3,2021-03-20 15:27:11,Lime,Lime CPA,Займ средний,1800,102f8aad765bf84c6360485043555b,,42,,,,CpaHub
4,2021-03-12 03:43:09,Lime,Lime CPA,Займ отличный,4500,102c6a95b271ff43ab41d3636f16c1,,42,,,,CpaHub
5,2021-03-02 22:37:13,Lime,Lime CPA,Займ хороший,3000,10204e256e16f9b2490c0505512200,,42,,,,CpaHub
